
Exhibit 4. Exports, Imports, and Trade Balance of Goods by Country and Area, Not Seasonally Adjusted: 2018

(X) Not applicable. (-) Represents zero or less than one-half unit of measurement shown.

                                                                                                    111111111111111111111111
         1111111111222222222233333333334444444444555555555566666666667777777777888888888999999999990000000000111111111122222
1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234

                                                                                      Exports
                                            Balance                                 Domestic & Foreign,
                                          (Customs imports)                         F.A.S. basis   
Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank
Saudi Arabia                                    -279.7        -962.8            24       1,011.2       1,813.6            27
Senegal                                            0.2           2.1           145          18.0          26.3           129
Serbia                                           -19.5         -39.9            66           8.7          14.5           143
Seychelles                                         1.6           2.2           146           2.0           3.2           182
Sierra Leone                                       1.0           2.7           149           5.2          10.4           157
Singapore*                                       597.2       1,353.9           228       2,309.0       4,861.6            12
Sint Maarten                                      46.7          95.9           201          54.9         114.7            82
Slovakia                                        -119.8        -301.5            40          30.7          51.7           109
Slovenia                                         -38.0         -80.2            56          20.3          40.1           120
Solomon Islands                                    0.5           0.7           133           0.7           1.3           193
Somalia                                            1.6           4.3           153           2.0           4.6           177
South Africa                                    -171.9        -408.2            36         355.5         754.5            44
South Sudan                                        1.1           2.0           142           1.1           2.0           192
Spain                                           -425.8        -918.7            25       1,081.4       1,996.3            23
Sri Lanka                                       -184.5        -435.1            35          27.3          51.5           110
St Helena                                         -1.3          -1.3            97           (-)           (-)           222
St Kitts and Nevis                                15.5          30.0           180          20.2          39.3           121
St Lucia                                          71.0         102.8           203          74.9         107.5            85
St Pierre and Miquelon                             (-)           (-)           123           (-)           (-)           226
St Vincent and the Grenadines                      8.4          13.7           170           8.6          14.2           145
Sudan                                              6.0           7.2           160           8.2          11.0           154
Suriname                                          33.4          58.6           188          37.2          67.4            98
Svalbard, Jan Mayen Island                         (-)          -0.2           110           (-)           (-)           223
Swaziland                                          2.2           9.5           163           2.8          10.3           158
Sweden                                          -500.6      -1,077.8            21         381.9         660.4            46
Switzerland                                   -1,167.6      -2,282.2            16       1,716.9       3,845.6            17
Syria                                             11.0          10.4           164          11.4          11.5           153

Taiwan                                        -1,312.4      -3,003.0            11       1,903.5       3,987.8            15
Tajikistan                                         0.3           0.8           135           0.5           1.1           196
Tanzania                                           0.5          -1.0           101           8.6          15.6           140
Thailand                                      -1,328.3      -2,943.3            12         898.9       1,927.1            25
Timor-Leste                                       -0.2          -0.6           105           (-)           0.1           213
Togo                                              25.1          59.5           189          25.9          60.9           103
Tokelau                                            (-)          -0.3           106           (-)           (-)           218
Tonga                                              1.3           2.1           144           1.4           2.5           188
Trinidad and Tobago                             -121.2        -306.6            39         151.2         298.5            61
Tunisia                                          -48.8         -52.9            60          33.4          76.2            96
Turkey                                            98.5          66.7           194         784.7       1,607.4            28
Turkmenistan                                       0.4           1.7           141           1.1           2.7           186
Turks and Caicos Islands                          29.2          64.3           193          29.7          65.6           100
Tuvalu                                             0.2           0.2           126           0.2           0.2           208

Uganda                                            -1.3          -1.0           100           5.6          12.1           151
Ukraine                                           52.8          90.4           198         159.4         291.1            62
United Arab Emirates                           1,000.7       1,884.6           229       1,359.6       2,533.5            19
United Kingdom                                   656.3         887.2           226       5,612.7      10,392.6             5
Uruguay                                           52.3         111.0           205          79.7         174.8            73
Uzbekistan                                         4.0          10.4           165           5.3          12.9           148

Vanuatu                                           -0.9          -0.9           102           0.2           0.6           198
Vatican City                                       (-)          -0.3           108           (-)           (-)           (X)
Venezuela                                       -291.8        -787.7            28         451.6         856.4            40
Vietnam                                       -2,781.1      -6,164.7             6         706.5       1,317.7            31

Wallis and Futuna                                  (-)           (-)           119           (-)           (-)           (X)
West Bank Administered by Israel                  -0.9          -1.0            99           0.1           0.4           203
Western Sahara                                     (-)           (-)           118           (-)           (-)           (X)

Yemen                                             17.3          26.3           177          17.5          26.5           128

Zambia                                            17.4          17.8           173          21.3          27.0           127
Zimbabwe                                           1.7           1.2           139           2.4           4.7           176

